Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to The 2000 Club,GBP,1500,2015-01-11,The 2000 Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Sport4Health Community Interest Company,GBP,1420,2015-01-11,Sport4Health Community Interest Company,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Riana Development Foundation Network,GBP,1500,2015-01-11,Riana Development Foundation Network,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Poplar HARCA,GBP,1500,2015-01-11,Poplar HARCA,Greater London Authority,Communities and Intelligence,FreeSport
Grant to The Salmon Youth Centre,GBP,1410,2015-01-12,The Salmon Youth Centre,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Stepney Football Club,GBP,1500,2015-01-12,Stepney Football Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Shacklewell Primary School,GBP,1025,2015-01-12,Shacklewell Primary School,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Rathbone Society,GBP,1500,2015-01-12,Rathbone Society,Greater London Authority,Communities and Intelligence,FreeSport
Grant to North London Cricket Club,GBP,1000,2015-01-12,North London Cricket Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to MBS Enterprise,GBP,1400,2015-01-12,MBS Enterprise,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London FA,GBP,940,2015-01-12,London FA,Greater London Authority,Communities and Intelligence,FreeSport
Grant to LB Southwark,GBP,590,2015-01-12,LB Southwark,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Jacksons Lane,GBP,1500,2015-01-12,Jacksons Lane,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Fusion Lifestyle,GBP,1500,2015-01-12,Fusion Lifestyle,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Capital City Academy,GBP,1500,2015-01-12,Capital City Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Cambridge House,GBP,1500,2015-01-12,Cambridge House,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Age UK Bromley & Greenwich,GBP,1140,2015-01-12,Age UK Bromley & Greenwich,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Wac Arts,GBP,1499,2015-01-14,Wac Arts,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Park View FC,GBP,1500,2015-01-14,Park View FC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London Wheelchair Baskeball Association,GBP,1475,2015-01-14,London Wheelchair Baskeball Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Crystal Palace FC Foundation,GBP,1500,2015-01-14,Crystal Palace FC Foundation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Southall Community Alliance,GBP,1350,2015-01-15,Southall Community Alliance,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Lewisham Lions Softball,GBP,1500,2015-01-15,Lewisham Lions Softball,Greater London Authority,Communities and Intelligence,FreeSport
