Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Air Quality Programme - King's College London,GBP,112490,2019-02-15,King's College London,Greater London Authority,"Development, Enterprise & Environment",C40 air quality hyper-local sensor programme
Digital Talent Programme,GBP,400000,2019-01-31,Capital Enterprise (UK) Limited,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Digital Talent Programme,GBP,240000,2019-01-24,A New Direction London Limited,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Mayor's Construction Academy Hub Status,GBP,200000,2018-11-01,LB Barking and Dagenham,Greater London Authority,"Development, Enterprise & Environment",Mayor’s Construction Academy Scheme
Housing Infrastructure Fund,GBP,90000,2019-03-25,LB Enfield,Greater London Authority,Housing and Land,Supporting developments with a High Level of Affordable Housing
Mayor's Construction Academy Hub Status,GBP,200000,2018-10-23,LB Camden,Greater London Authority,"Development, Enterprise & Environment",Mayor’s Construction Academy Scheme
Mayor's Construction Academy Hub Status,GBP,166500,2018-10-29,Bromley College of Further & Higher Education,Greater London Authority,"Development, Enterprise & Environment",Mayor’s Construction Academy Scheme
Mayor's Construction Academy Hub Status,GBP,249750,2018-10-24,London South Bank University,Greater London Authority,"Development, Enterprise & Environment",Mayor’s Construction Academy Scheme
Grant to Partnership for Young London,GBP,9800,2019-03-01,Partnership for Young London,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Carers Support Merton,GBP,9667,2019-03-01,Carers Support Merton,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Leaders in Community,GBP,7852,2019-03-01,Leaders in Community,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Volunteer Centre Kensington and Chelsea,GBP,10000,2019-03-01,Volunteer Centre Kensington and Chelsea,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Breadwinners,GBP,10000,2019-03-01,Breadwinners,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to St Mary's Secret Garden,GBP,10000,2019-03-01,St Mary's Secret Garden,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Community Action for Refugees and Asylum Seekers (CARAS),GBP,9852,2019-03-01,Community Action for Refugees and Asylum Seekers (CARAS),Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Innovative Vision Organisation,GBP,10000,2019-03-01,Innovative Vision Organisation,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Tender Education and Arts,GBP,50000,2019-03-01,Tender Education and Arts,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Skyway Charity,GBP,50000,2019-03-01,Skyway Charity,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Carers of Barking and Dagenham,GBP,41230,2019-03-01,Carers of Barking and Dagenham,Greater London Authority,Team London,Team London and Thrive LDN Grants
Grant to Abbey Community Centre,GBP,5430,2018-12-03,Abbey Community Centre,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Autus,GBP,12000,2018-11-26,Autus,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Doorstep Library Network,GBP,9750,2018-12-05,Doorstep Library Network,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Faiths Forum for London,GBP,12000,2018-11-27,Faiths Forum for London,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Hoxton Health,GBP,9276,2018-12-12,Hoxton Health,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Lewisham Refugee Welcome Team,GBP,5000,2018-12-05,Lewisham Refugee Welcome Team,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to Seeds for Growth,GBP,12000,2018-12-05,Seeds for Growth,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to St Francis at the Engine Room,GBP,9000,2018-12-12,St Francis at the Engine Room,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to The Bike Project,GBP,12000,2018-11-26,The Bike Project,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to The Hebe Foundation,GBP,12000,2018-12-05,The Hebe Foundation,Greater London Authority,Communities & Intelligence,Team London small grants
Grant to The New Cross Gate Trust,GBP,5055,2018-11-23,The New Cross Gate Trust,Greater London Authority,Communities & Intelligence,Team London small grants
Refugee and Migrant Data Programme,GBP,25000,2019-01-01,Kingston Voluntary Action,Greater London Authority,Communities & Intelligence,Civil Society Data Project
Citizen Led Engagement Programme,GBP,12000,2019-03-26,You Press,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11999,2019-03-26,Diversity Living Services,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11620,2019-03-26,Salmon Youth Centre,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11999,2019-03-26,Hopscotch Women's Resource Centre,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,12000,2019-03-26,Sistah space,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,12004,2019-03-26,The Traveller Movement,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,12000,2019-03-26,Black Out UK,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11758,2019-03-26,Royal Association for Deaf People,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,12000,2019-03-26,Advance Advocacy,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11956,2019-03-26,REAP,Greater London Authority,NA,Citizen Led Engagement Programme
Citizen Led Engagement Programme,GBP,11830,2019-03-26,Young Europeans,Greater London Authority,NA,Citizen Led Engagement Programme
Grant to Poplar Harca,GBP,49580,2018-07-11,Poplar Harca,Greater London Authority,Communities and Social Policy,ESOL Plus Childcare
Grant to Sutton College,GBP,23930,2018-07-11,Sutton College,Greater London Authority,Communities and Social Policy,ESOL Plus Childcare
Grant to Battersea Academy for Skills Excellence,GBP,20000,2018-10-18,Battersea Academy for Skills Excellence,Greater London Authority,Communities and Social Policy,ESOL Plus Employer Partnership
Young Londoners Fund,GBP,125777,2019-01-02,Abianda,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,89237,2018-10-01,All Change Arts Limited,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,141000,2019-01-07,"Ambition, Aspire, Achieve",Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,44489,2019-01-01,Applecartlive Ltd,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,90000,2018-10-01,ARCA Generation,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,140112,2019-01-01,Art Against Knives,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,146464,2019-01-01,BANG Edutainment,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-10-01,Black Training and Enterprise Group,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149778,2019-01-01,Body & Soul,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,133749,2019-01-07,Bollo Brook Youth Centre (prt of London Borough of Ealing),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,88258,2018-10-01,Bromley & Croydon Women's Aid,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,140391,2018-10-01,Cambridge House and Talbot,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,50000,2018-10-01,Catalyst In Communities,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-01,Central Greenwich Children's Centres,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,148657,2019-01-01,Centrepoint,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-11-01,Charlton Athletic Community Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,148960,2019-01-02,Circle Community,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-12-01,"College of Haringey, Enfield & North East London",Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-01,Construction Youth Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149240,2019-01-01,Croydon Voluntary Action,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149897,2018-10-30,Da’watul Islam UK & Eire,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149927,2018-10-01,EACH Counselling and Support,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,81187,2019-01-01,Ebony Horse Club,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,147516,2019-01-01,ELATT,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,113075,2018-10-01,Finsbury Park Mosque,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,139766,2018-11-06,Football Beyond Borders,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,72000,2018-10-30,Free to Be Kids,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-12-01,Freedom from Torture,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,86875,2018-10-01,Get Hooked on Fishing,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,137683,2018-10-08,Greenwich & Lewisham Young People's Theatre (Tramshed),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,139508,2018-10-22,Groundwork London,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-10-19,Harrow Club W10,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,140671,2018-11-01,Headliners (UK),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,858107,2019-01-14,High Trees Community Development Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,145290,2018-10-01,Highbury Roundhouse,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,30000,2018-10-01,Hillingdon Carers,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,83360,2018-10-01,Hounslow Action for Youth,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-14,Hyde Charitable Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,120000,2019-01-02,Ignite Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,54000,2018-10-01,Irene Taylor Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,92159,2018-10-14,IRIE! dance theatre,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,62075,2018-10-01,Islington Somali Community,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149799,2018-10-01,Jigsaw4u,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,116153,2019-01-01,Kazzum Arts Project,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149880,2019-01-21,Key4Life,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,75000,2018-10-22,Khulisa,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,116866,2019-01-02,KIDS,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,75000,2018-10-01,Kiln Theatre Limited,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-01,Kingston Carers' Network,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,79753,2018-10-22,Knights Youth Centre,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149109,2019-01-01,Lewisham Refugee and Migrant Network,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,90000,2018-10-01,Lewisham Youth Theatre,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,146722,2019-01-01,LifeLine Community Projects,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,1500000,2019-01-01,LB Haringey,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2018-10-01,LB Southwark,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-02,London Borough of Sutton,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-01,LB Waltham Forest,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-07,LB Waltham Forest,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,685578,2019-01-01,New Horizon Youth Centre,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149390,2018-10-01,Oasis Children's Venture,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149217,2019-01-01,Oasis Hub Waterloo,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,89761,2018-10-01,OYA Organisation of Young Africans,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,128940,2018-12-03,Pan Intercultural Arts,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,47877,2018-10-01,Pleasance Theatre Trust Ltd,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,114688,2019-01-07,PLIAS Resettlement,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,767635,2018-10-01,Poplar Housing and Regeneration Community Association Limited (known as Poplar HARCA),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,57588,2018-10-01,Protection Approaches,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149601,2018-10-01,QPR in the Community Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,105000,2019-01-01,Reaching Higher,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-01,Redthread Youth Ltd,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149352,2019-01-01,Refugee Support Network,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,76597,2018-10-01,Ruils,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-07,Saffron Valley Collegiate,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,75000,2018-10-15,Savvy Theatre Company,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,87840,2018-12-21,School of Hard Knocks,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,66000,2018-10-01,Serious About Youth (SAY),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,135309,2019-01-01,Shpresa Programme,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,90000,2018-11-05,SkyWay Charity,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,90000,2018-10-20,Snow-Camp,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,90000,2018-10-15,SocietyLinks,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,60000,2018-10-22,South Central Youth Ltd,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,87972,2018-10-01,South Poplar & Limehouse Action for Secure Housing (SPLASH),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,88565,2018-08-20,Southside Young Leaders' Academy,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149250,2018-12-01,St Giles Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,88917,2018-10-01,St Paul's Cathedral,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,122700,2018-11-01,Step Up Hub,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149994,2018-10-15,SV Academy,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,146560,2018-10-01,Sycamore Trust U.K.,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,150000,2019-01-02,Synergy Theatre Project,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149515,2019-01-01,The Access To Sports Project,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149296,2019-01-01,The AHOY Centre,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,75000,2018-10-01,The Arts Depot Trust Ltd,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,49809,2018-10-01,The Ben Kinsella Trust,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,145365,2019-01-07,The Hackney Pirates,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,96465,2019-01-02,The Royal Society for Blind Children,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,82000,2018-10-01,The Twist Partnership Limited,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,148148,2018-12-06,The Winch,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,148500,2018-10-01,ThinkForward,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,146576,2018-10-01,Wac Arts College,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,58069,2018-10-01,Whizz-Kidz (the Movement for Non-Mobile Children),Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,34500,2018-10-15,Word On The Curb,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,117930,2019-01-01,YMCA Thames Gateway,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,116555,2019-01-07,You and Me Counselling,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,145937,2019-01-02,Young Roots,Greater London Authority,Education and Youth,Young Londoners Fund
Young Londoners Fund,GBP,149139,2019-01-07,Youth Action Alliance,Greater London Authority,Education and Youth,Young Londoners Fund
Grant to Thames Chase Trust,GBP,8900,2019-10-02,Thames Chase Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Barnet,GBP,24743,2019-10-02,LB Barnet,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to The Conservation Volunteers,GBP,15773.96,2019-10-02,The Conservation Volunteers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Croydon,GBP,20000,2019-10-02,LB Croydon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Wildlife Trust,GBP,6230,2019-10-02,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Ealing,GBP,28750,2019-10-02,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Ealing,GBP,18750,2019-10-02,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Ealing,GBP,11250,2019-10-02,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Southall Transition,GBP,6514,2019-10-02,Southall Transition,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Royal Borough of Greenwich,GBP,14500,2019-10-02,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Avery Hill Park,GBP,5800,2019-10-02,Friends of Avery Hill Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Peabody Trust,GBP,32000,2019-10-02,Peabody Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Hackney,GBP,48269,2019-10-02,LB Hackney,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Queensbridge Primary School,GBP,37714,2019-10-02,Queensbridge Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Alexandra Park and Palace Charitable Trust,GBP,15540,2019-10-02,Alexandra Park and Palace Charitable Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Haringey,GBP,12500,2019-10-02,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Haringey,GBP,10000,2019-10-02,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Harrow,GBP,27051,2019-10-02,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Thames Chase Trust,GBP,19525,2019-10-02,Thames Chase Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Hillingdon,GBP,8436.5,2019-10-02,LB Hillingdon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Hounslow,GBP,10747,2019-10-02,LB Hounslow,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Just Solutions 123...,GBP,14600,2019-10-02,Just Solutions 123...,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to The Tree Council,GBP,17682,2019-10-02,The Tree Council,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,40500,2019-10-02,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,50000,2019-10-02,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,17500,2019-10-02,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Redbridge,GBP,14331.38,2019-10-02,LB Redbridge,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Dulwich Park Friends,GBP,5760,2019-10-02,Dulwich Park Friends,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Wrythe Memorial Events,GBP,12000,2019-10-02,Wrythe Memorial Events,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Manor Park Friends Group,GBP,7834,2019-10-02,Manor Park Friends Group,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,10000,2019-10-02,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Waltham Forest,GBP,24230,2019-10-02,LB Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Borough of Wandsworth,GBP,17800,2019-10-02,LB Wandsworth,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
London Family Fund,GBP,85000,2018-09-01,New Economics Foundation,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,82592,2018-09-01,Citizens UK,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,20000,2018-09-01,Eastside Community Heritage,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,14000,2018-09-01,Kitchen Kitchen Collection CIC,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,47000,2018-09-01,Wheely Tots,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,50000,2018-09-01,Nature Vibezzz,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,40000,2018-09-01,Time and Talents Assocation,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,25000,2018-09-01,Little Village,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,26147,2018-09-01,Hackney Playbus,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,67000,2019-10-01,Cares Family,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,20000,2019-10-01,Centrepoint Soho,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,26993,2019-10-01,Her Centre,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,10250,2019-10-01,St Mary's Primary School,Greater London Authority,Communities and Social Policy,London Family Fund
London Family Fund,GBP,20308,2019-10-01,Laburnum Boat Club,Greater London Authority,Communities and Social Policy,London Family Fund
Grant to London Borough of Bexley,GBP,290000,2019-07-31,LB Bexley,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Brent,GBP,628000,2019-11-13,LB Brent,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Camden,GBP,157000,2019-07-31,LB Camden,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Croydon,GBP,521000,2019-07-19,LB Croydon,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Enfield,GBP,554474,2019-08-27,LB Enfield,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Haringey,GBP,546000,2019-07-13,LB Haringey,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Harrow,GBP,500000,2019-08-21,LB Harrow,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Hounslow,GBP,500000,2019-11-21,LB Hounslow,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to Royal Borough of Kingston upon Thames,GBP,203000,2019-10-28,LB Kingston,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Lambeth,GBP,239418,2019-07-19,LB Lambeth,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Lewisham,GBP,525000,2019-07-31,LB Lewisham,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Merton,GBP,366000,2019-08-06,LB Merton,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Newham,GBP,292000,2019-07-19,LB Newham,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Redbridge,GBP,120000,2019-10-18,LB Redbridge,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Southwark,GBP,572696,2019-07-31,Lb Southwark,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Sutton,GBP,70000,2019-10-28,LB Sutton,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Tower Hamlets,GBP,95000,2019-11-05,LB Tower Hamlets,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to London Borough of Waltham Forest,GBP,797019,2019-09-10,LB Waltham Forest,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
Grant to london Borough of Wandsworth,GBP,100000,2019-08-21,Lb Wandsworth,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
